图2中①②③三地自然条件相比较	②、③两地均受暖流影响
2012年11月4日凌晨，国家气象局对北京市西北部发布了暴雪红色预警。下列说法正确的是	该预警信息促使全市冬季供暖工作提前启动
因素关联_0（该预警信息，全市冬季供暖工作提前启动） 促使
2012年11月4日凌晨，国家气象局对北京市西北部发布了暴雪红色预警。下列说法正确的是	该预警信息的发布会导致交通压力增大
因素关联_0（该预警信息的发布，交通压力增大） 导致
下列关于三省区的叙述，正确的是	甲省区的自然条件限制了农业的发展
因素关联_0（甲省区的自然条件，限制了农业的发展） 限制
下列关于三省区的叙述，正确的是	乙省区第三产业的发展受益于发达的交通
因素关联_0（发达的交通，乙省区第三产业的发展） 受益-于-
下列关于三省区的叙述，正确的是	三省区均受益于西气东输工程
因素关联_0（西气东输工程，三省区） 受益-于-
下列关于两地湿地变化的原因和影响的叙述，不正确的是	黑龙江湿地大幅减少，主要是由于农业基地的开发
因素关联_0（农业基地的开发，变化_1（黑龙江湿地，#，减少）） 由于 减少
下列关于两地湿地变化的原因和影响的叙述，不正确的是	湿地减少加剧了黑龙江的洪涝灾害
因素关联_0（湿地减少，加剧了黑龙江的洪涝灾害） 加剧
下列关于两地湿地变化的原因和影响的叙述，不正确的是	西藏湿地面积增大与全球变暖有关
因素关联_0（全球变暖，西藏湿地面积增大） 有关
下列关于两地湿地变化的原因和影响的叙述，不正确的是	旅游资源的开发是西藏湿地增加的主要原因之一
因素关联_0（旅游资源的开发，西藏湿地增加） 原因
