时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性
,6,,,岛内 最 大 零售 商业点 位于 甲村 ， 主要 形成 原因 是 该 村 商业 组织 形式 复杂,岛内 最 大 零售 商业点 位于 甲村 ， 主要 形成 原因 是 该 村 商业 组织 形式 复杂,NN AD JJ NN NN VV loc PU AD VV NN VC DT NN NN NN NN VA
,6,,,岛内 最 大 零售 商业点 位于 甲村 ， 主要 形成 原因 是 该 村 人口 数量 大,岛内 最 大 零售 商业点 位于 甲村 ， 主要 形成 原因 是 该 村 人口 数量 大,NN AD JJ NN NN VV loc PU AD VV NN VC DT NN NN NN VA
,,,,在 海岛 开发 的 过程 中 ， 该 岛 人口 容量 最 主要 受 耕地 资源 、 矿产 资源 限制,在 海岛 开发 的 过程 中 ， 该 岛 人口 容量 最 主要 受 耕地 资源 、 矿产 资源 限制,P NN VV DEC NN LC PU loc NN NN NN AD AD VV NN NN PU NN NN NN
,,,,在 海岛 开发 的 过程 中 ， 该 岛 适宜 大 面积 种植 水稻 、 甜菜 、 香蕉 和 橡胶,在 海岛 开发 的 过程 中 ， 该 岛 适宜 大 面积 种植 水稻 、 甜菜 、 香蕉 和 橡胶,P NN VV DEC NN LC PU DT NN VV JJ NN VV NN PU NN PU NN CC NN
,,,,在 海岛 开发 的 过程 中 ， 该 岛 河流 入海口 处 地势 开阔 ， 适宜 建设 深水港,在 海岛 开发 的 过程 中 ， 该 岛 河流 入海口 处 地势 开阔 ， 适宜 建设 深水港,P NN VV DEC NN LC PU DT NN NN NN NN NN VA PU VV VV NN
,,,,在 海岛 开发 的 过程 中 ， 该 岛 河流 入海口 处 地势 开阔,在 海岛 开发 的 过程 中 ， 该 岛 河流 入海口 处 地势 开阔,P NN VV DEC NN LC PU DT NN NN NN NN NN VA
,,,,在 海岛 开发 的 过程 中 ， 该 岛 适宜 建设 深水港,在 海岛 开发 的 过程 中 ， 该 岛 适宜 建设 深水港,P NN VV DEC NN LC PU DT NN VV VV NN
,,15,,在 海岛 开发 的 过程 中 ， 该 岛 需要 防范 强风 、 暴雨 、 风暴潮 等 自然 灾害,在 海岛 开发 的 过程 中 ， 该 岛 需要 防范 强风 、 暴雨 、 风暴潮 等 自然 灾害,P NN VV DEC NN LC PU DT NN VV VV NN PU NN PU term ETC NN NN
,12,,,接受 湖北 输出 货运量 最 多 的 省份 （ 直辖市 ） 位于 湖北以南,接受 湖北 输出 货运量 最 多 的 省份 （ 直辖市 ） 位于 湖北 以南,VV NR NN NN AD VA DEC NN PU NN PU VV loc
,12,,,接受 湖北 输出 货运量 最 多 的 省份 （ 直辖市 ） 位于 湖北以北,接受 湖北 输出 货运量 最 多 的 省份 （ 直辖市 ） 位于 湖北 以北,VV NR NN NN AD VA DEC NN PU NN PU VV loc
,12,,,接受 湖北 输出 货运量 最 多 的 省份 （ 直辖市 ） 位于 湖北以东,接受 湖北 输出 货运量 最 多 的 省份 （ 直辖市 ） 位于 湖北 以东,VV NR NN NN AD VA DEC NN PU NN PU VV loc
,12,,,接受 湖北 输出 货运量 最 多 的 省份 （ 直辖市 ） 位于 湖北以西,接受 湖北 输出 货运量 最 多 的 省份 （ 直辖市 ） 位于 湖北 以西,VV NR NN NN AD VA DEC NN PU NN PU VV loc
,7 15 17,,,承担 由 邻省 （ 直辖市 ） 输入 湖北 的 货运量 最 大 的 铁路线 是 京沪线 、 京广线,承担 由 邻省 （ 直辖市 ） 输入 湖北 的 货运量 最 大 的 铁路线 是 京沪线 、 京广线,VV P NN PU NN PU VV loc DEG NN AD VA DEC NN VC loc PU loc
,7 15 17,,,承担 由 邻省 （ 直辖市 ） 输入 湖北 的 货运量 最 大 的 铁路线 是 京广线 、 焦枝线,承担 由 邻省 （ 直辖市 ） 输入 湖北 的 货运量 最 大 的 铁路线 是 京广线 、 焦枝线,VV P NN PU NN PU VV loc DEG NN AD VA DEC NN VC loc PU loc
,7 15 17,,,承担 由 邻省 （ 直辖市 ） 输入 湖北 的 货运量 最 大 的 铁路线 是 京九线 、 枝柳线,承担 由 邻省 （ 直辖市 ） 输入 湖北 的 货运量 最 大 的 铁路线 是 京九线 、 枝柳线,VV P NN PU NN PU VV loc DEG NN AD VA DEC NN VC loc PU loc
,7 15 17,,,承担 由 邻省 （ 直辖市 ） 输入 湖北 的 货运量 最 大 的 铁路线 是 陇海线 、 焦枝线,承担 由 邻省 （ 直辖市 ） 输入 湖北 的 货运量 最 大 的 铁路线 是 陇海线 、 焦枝线,VV P NN PU NN PU VV loc DEG NN AD VA DEC NN VC loc PU loc
