时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性
,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 江南丘陵 施用 石灰 ， 中和 土壤 酸度,不 够 合理 的 治理 土壤 退化 的 措施 是 江南 丘陵 施用 石灰 ， 中和 土壤 酸度,AD VA VA DEC NN NN VV DEC NN VC loc VV NN PU NR NN NN
,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 江南丘陵 施用 石灰,不 够 合理 的 治理 土壤 退化 的 措施 是 江南 丘陵 施用 石灰,AD VA VA DEC NN NN VV DEC NN VC loc VV NN
,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 江南丘陵 中和 土壤 酸度,不 够 合理 的 治理 土壤 退化 的 措施 是 江南 丘陵 中和 土壤 酸度,AD VA VA DEC NN NN VV DEC NN VC loc NR NN NN
,1,2 8 10,,决定 中国 自然地理环境 差异 的 基本 因素 是 植被 和 气候,决定 中国 自然 地理 环境 差异 的 基本 因素 是 植被 和 气候,VV loc term NN DEG JJ NN VC term CC term
,1,2 8 10,,决定 中国 自然地理环境 差异 的 基本 因素 是 气候 和 地貌,决定 中国 自然 地理 环境 差异 的 基本 因素 是 气候 和 地貌,VV loc term NN DEG JJ NN VC term CC term
,1,2 8 10,,决定 中国 自然地理环境 差异 的 基本 因素 是 地貌 和 水文,决定 中国 自然 地理 环境 差异 的 基本 因素 是 地貌 和 水文,VV loc term NN DEG JJ NN VC term CC term
,1,2 10,,决定 中国 自然地理环境 差异 的 基本 因素 是 土壤 和 植被,决定 中国 自然 地理 环境 差异 的 基本 因素 是 土壤 和 植被,VV loc term NN DEG JJ NN VC NN CC term
,13 15,,,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 哈尔滨 — 沈阳 段,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 哈尔滨 — 沈阳 段,P NN NN AD DT M NN CC NN AD VA DEC VC loc PU loc NN
,13 15,,,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 太原 — 石家庄 段,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 太原 — 石家庄 段,P NN NN AD DT M NN CC NN AD VA DEC VC loc PU loc NN
,13 15,,,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 郑州 — 徐州 段,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 郑州 — 徐州 段,P NN NN AD DT M NN CC NN AD VA DEC VC loc PU loc NN
,13 15,,,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 广州 — 深圳 段,同 等级 铁路 平均 每 千米 工程量 和 造价 最 高 的 是 广州 — 深圳 段,P NN NN AD DT M NN CC NN AD VA DEC VC loc PU loc NN
1,12,,,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 太原,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 太原,AD time M PU NN NN AD JJ NN DEG NN VC loc
1,12,,,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 兰州,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 兰州,AD time M PU NN NN AD JJ NN DEG NN VC loc
1,12,,,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 成都,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 成都,AD time M PU NN NN AD JJ NN DEG NN VC loc
1,12,,,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 广州,近 20年 来 ， 人口 流出量 最 大 省 的 省会 是 广州,AD time M PU NN NN AD JJ NN DEG NN VC loc
,3 5,,,图 中 城市 青岛 比 杭州 白昼 长,图 中 城市 青岛 比 杭州 白昼 长,NN LC NN loc P loc NN VA
,3 5,,,图 中 城市 北京 比 深圳 日出 早,图 中 城市 北京 比 深圳 日出 早,NN LC NN loc P loc VV AD
,3 5,,,图 中 城市 南京 比 长沙 日落 晚,图 中 城市 南京 比 长沙 日落 晚,NN LC NN loc P loc VV NN
,3 5,6,,图 中 城市 兰州 比 上海 正午太阳高度 小,图 中 城市 兰州 比 上海 正午 太阳 高度 小,NN LC NN loc P loc term JJ
