时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性
,,,,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ① 和 ②,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ① 和 ②,NN LC VV NN DEG NN DEG NN AD VC NN CC NN
,,,,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ① 和 ④,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ① 和 ④,NN LC VV NN DEG NN DEG NN AD VC NN CC NN
,,,,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ② 和 ③,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ② 和 ③,NN LC VV NN DEG NN DEG NN AD VC NN CC NN
,,,,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ③ 和 ④,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ③ 和 ④,NN LC VV NN DEG NN DEG NN AD VC NN CC NN
,,0,,GIS技术 的 关键 装置 是 传感器,GIS 技术 的 关键 装置 是 传感器,term DEG NN NN VC NN
,,0,,GIS技术 的 数据 模型 用 点 、 线 、 面 表达,GIS 技术 的 数据 模型 用 点 、 线 、 面 表达,term DEG NN NN VV NN PU NN PU NN VV
,,0,,GIS技术 的 主要 功能 是 空间 定位,GIS 技术 的 主要 功能 是 空间 定位,term DEG JJ NN VC NN NN
,,0,,GIS技术 的 数据库 由 若干 图层 组成,GIS 技术 的 数据库 由 若干 图层 组成,term DEG NN P CD NN VV
,,,,图 中 城市 ① 位于 规划区,图 中 城市 ① 位于 规划区,NN LC NN NN VV NN
,,,,图 中 城市 ② 位于 非矿区,图 中 城市 ② 位于 非矿区,NN LC NN NN VV NN
,,,,图 中 城市 ③ 位于 现矿区,图 中 城市 ③ 位于 现矿区,NN LC NN NN VV NN
,,,,图 中 城市 ④ 位于 原矿区,图 中 城市 ④ 位于 原矿区,NN LC NN NN VV NN
,,,,图示 地区 采矿业 向 西 、 向 北 迁移 ， 主要 是 趋向 原料地,图示 地区 采矿业 向 西 、 向 北 迁移 ， 主要 是 趋向 原料地,VA NN NN P NN PU P NN VV PU AD VC VV NN
,,,,图示 地区 采矿业 向 西 、 向 北 迁移 ， 主要 是 趋向 消费地,图示 地区 采矿业 向 西 、 向 北 迁移 ， 主要 是 趋向 消费地,VA NN NN P NN PU P NN VV PU AD VC VV NN
,,,,图示 地区 采矿业 向 西 、 向 北 迁移 ， 主要 是 趋向 水资源,图示 地区 采矿业 向 西 、 向 北 迁移 ， 主要 是 趋向 水资源,VA NN NN P NN PU P NN VV PU AD VC VV NN
,,,,图示 地区 采矿业 向 西 、 向 北 迁移 ， 主要 是 趋向 交通线,图示 地区 采矿业 向 西 、 向 北 迁移 ， 主要 是 趋向 交通线,VA NN NN P NN PU P NN VV PU AD VC VV NN
