文本,完整模板
英国	地势西高东低,实体信息陈述_0（英国，地势，西高东低）
英国	多数河流短，含沙少，无结冰期,实体信息陈述_0（英国多数河流，#，短）实体信息陈述_1（英国多数河流，含沙，少）实体信息陈述_2（英国多数河流，结冰期，无）
英国	多数河流短,实体信息陈述_0（英国多数河流，#，短）
英国	多数河流含沙少,实体信息陈述_0（英国多数河流，含沙，少）
英国	多数河流无结冰期,实体信息陈述_0（英国多数河流，结冰期，无）
途经该区域的洋流	能使北美洲至欧洲的海轮航行速度加快,因果_0（途径该区域的洋流，趋势_1（北美洲至欧洲的海轮，航行速度，#，加快））
途经该区域的洋流	造成欧洲西部地区气温升高、湿度降低,因果_0（途径该区域的洋流，趋势_1（欧洲西部地区，气温，#，升高）趋势_2（欧洲西部地区，气温，#，降低））
途经该区域的洋流	进入到北冰洋海域，使当地能见度变好,因果_0（途径该区域的洋流，趋势_1（北冰洋海域，能见度，#，变好））
途经该区域的洋流	在与其他洋流交汇的海域不易形成渔场,实体信息陈述_0（途经该区域的洋流在与其他洋流交汇的海域，不易形成，渔场）
图中所示山地	各自然带的界线随季节变化而移动,趋势_0（山地各自然带，界线，季节变化，移动）
图中所示山地	北坡热量条件差，林带上界比南坡低,实体信息陈述_0（山地北坡，热量条件，差）比较_1（山地北坡，山地南坡，林带上界，低）
图中所示山地	北坡热量条件差,实体信息陈述_0（山地北坡，热量条件，差）
图中所示山地	北坡林带上界比南坡低,比较_0（山地北坡，山地南坡，林带上界，低）
图中所示山地	南坡冰雪带下界因降水量大而较低,因果_0（山地南坡降水量大，实体信息陈述_1（山地南坡，冰雪带下界，较低））
图中所示山地	南北坡山麓水平距离造成基带差异大,影响_0（山地南北坡山麓水平距离，基带，差异大）
该山地位于	喜马拉雅山脉,位于_0（该山地，喜马拉雅山脉）
该山地位于	天山山脉,位于_0（该山地，天山山脉）
该山地位于	祁连山脉,位于_0（该山地，祁连山脉）
该山地位于	昆仑山脉,位于_0（该山地，昆仑山脉）
该游牧活动	需要穿越热带雨林,实体信息陈述_0（该游牧活动，需要穿越，热带雨林）
该游牧活动	随着雨季南北移动,趋势_0（该游牧活动，#，雨季，南北移动）
该游牧活动	向南可至南回归线,实体信息陈述_0（该游牧活动，向南可至，南回归线）
该游牧活动	易受飓风灾害侵扰,影响_0（飓风灾害，该游牧活动，侵扰）
游牧至甲地的时间最可能是	1月,实体信息陈述_0（游牧至甲地，时间，1月）
游牧至甲地的时间最可能是	4月,实体信息陈述_0（游牧至甲地，时间，4月）
游牧至甲地的时间最可能是	7月,实体信息陈述_0（游牧至甲地，时间，7月）
游牧至甲地的时间最可能是	10月,实体信息陈述_0（游牧至甲地，时间，10月）
图中所示救灾工作程序还可能适用于	鼠害,实体信息陈述_0（图中所示救灾工作程序，适用于，鼠害）
图中所示救灾工作程序还可能适用于	洪涝,实体信息陈述_0（图中所示救灾工作程序，适用于，洪涝）
图中所示救灾工作程序还可能适用于	旱灾,实体信息陈述_0（图中所示救灾工作程序，适用于，旱灾）
图中所示救灾工作程序还可能适用于	寒潮,实体信息陈述_0（图中所示救灾工作程序，适用于，寒潮）
为降低大城市震后救灾活动强度，应采取的主要防灾减灾措施包括	完善城市功能区划,措施_0（为降低大城市震后救灾活动强度，完善城市功能区划）
为降低大城市震后救灾活动强度，应采取的主要防灾减灾措施包括	调整产业结构,措施_0（为降低大城市震后救灾活动强度，整产业结构）
为降低大城市震后救灾活动强度，应采取的主要防灾减灾措施包括	人口外迁,措施_0（为降低大城市震后救灾活动强度，人口外迁）
为降低大城市震后救灾活动强度，应采取的主要防灾减灾措施包括	房屋加固,措施_0（为降低大城市震后救灾活动强度，房屋加固）
为降低大城市震后救灾活动强度，应采取的主要防灾减灾措施包括	组建志愿者队伍,措施_0（为降低大城市震后救灾活动强度，组建志愿者队伍）
为降低大城市震后救灾活动强度，应采取的主要防灾减灾措施包括	避灾自救技能培训,措施_0（为降低大城市震后救灾活动强度，避灾自救技能培训）
在图示景区的主要自然景观中，	峡谷由河流下切塑造而成,影响_0（河流下切，峡谷，塑造）
在图示景区的主要自然景观中，	河流补给主要靠冰雪融水,实体信息陈述_0（河流，补给，主要靠冰雪融水）
在图示景区的主要自然景观中，	瀑布的落差受径流量控制,影响_0（径流量，瀑布的落差，控制）
在图示景区的主要自然景观中，	湖泊是火山口积水形成的,影响_0（火山口积水，湖泊，形成）
在景区服务设施中，依次布局游客中心、加油站、餐厅、巡防站的合理方案是	①③②④,匹配_0（游客中心，①）匹配_1（加油站，③）匹配_2（餐厅，②）匹配_3（巡防站，④）
在景区服务设施中，依次布局游客中心、加油站、餐厅、巡防站的合理方案是	②③①④,匹配_0（游客中心，②）匹配_1（加油站，③）匹配_2（餐厅，①）匹配_3（巡防站，④）
在景区服务设施中，依次布局游客中心、加油站、餐厅、巡防站的合理方案是	③②④①,匹配_0（游客中心，③）匹配_1（加油站，②）匹配_2（餐厅，④）匹配_3（巡防站，①）
在景区服务设施中，依次布局游客中心、加油站、餐厅、巡防站的合理方案是	④①③②,匹配_0（游客中心，④）匹配_1（加油站，①）匹配_2（餐厅，③）匹配_3（巡防站，②）
