文本,完整模板
下述景区组合中，旅游资源多样性最丰富的是	大相国寺、清明上河图、禹王谷、铁塔公园,最值_0（集合_1（大相国寺，清明上河图，禹王谷，铁塔公园），旅游资源多样性，丰富，#）
下述景区组合中，旅游资源多样性最丰富的是	太行大峡谷、红旗渠、殷墟、马氏庄园,最值_0（集合_1（太行大峡谷，红旗渠，殷墟，马氏庄园），旅游资源多样性，丰富，#）
下述景区组合中，旅游资源多样性最丰富的是	老君山、鸡冠洞、龙峪湾、抱犊寨,最值_0（集合_1（老君山，鸡冠洞，龙峪湾，抱犊寨），旅游资源多样性，丰富，#）
下述景区组合中，旅游资源多样性最丰富的是	八里沟、万仙山、秋沟、齐王寨,最值_0（集合_1（八里沟，万仙山，秋沟，齐王寨），旅游资源多样性，丰富，#）
放假期间	时值我国立冬到小雪之间,一般陈述_0（放假期间时值我国立冬到小雪之间）
放假期间	太阳直射点向赤道移动,时间限定_0（放假期间）趋势_1（太阳直射点，#，向赤道，移动）
放假期间	黄山6点前日出东北方向,时间限定_0（放假期间6点前）趋势_1（黄山，日出，#，东北方向）
放假期间	南极大陆极夜范围扩大,时间限定_0（放假期间）趋势_1（南极大陆，极夜范围，#，扩大）
“帕姆”	生成于西北太平洋热带洋面,实体信息陈述_0（“帕姆”，生成于，西北太平洋热带洋面）
“帕姆”	气流呈顺时针方向旋转,趋势_0（“帕姆”，气流，顺时针方向，旋转）
“帕姆”	移动路径受控于西北漂流,影响_0（西北漂流，“帕姆”移动路径，#）
“帕姆”	自东向西穿过日界线,实体信息陈述_0（“帕姆”，自东向西穿过，日界线）
该气旋	标志当地进入台风多发季节,实体信息陈述_0（该气旋，标志，实体信息陈述_1（当地，进入，台风多发季节））
该气旋	引发滑坡、赤潮等次生灾害,实体信息陈述_0（该气旋，引发，滑坡、赤潮等次生灾害）
该气旋	造成的灾情可以用GPS监测,一般陈述_0（该气旋造成的灾情可以用GPS监测）
该气旋	对瓦努阿图的危害最大。,最值_0（瓦努阿图，该气旋的危害，大，#）
据图可推断，甲地人口迁出比例	北方地区比南方地区高,比较_0（北方地区，南方地区，甲地人口迁出比例，高）
据图可推断，甲地人口迁出比例	直辖市比省级行政中心高,比较_0（直辖市，省级行政中心，甲地人口迁出比例，高）
据图可推断，甲地人口迁出比例	珠江三角洲比四川盆地高,比较_0（珠江三角洲，四川盆地，甲地人口迁出比例，高）
据图可推断，甲地人口迁出比例	内陆城市比沿海城市高,比较_0（内陆城市，沿海城市，甲地人口迁出比例，高）
