文本,完整模板
甲地为峰林，同类景观多出现在	滇,匹配_0（甲地，峰林）分布_1（同类景观，滇，多）
甲地为峰林，同类景观多出现在	新,匹配_0（甲地，峰林）分布_1（同类景观，新，多）
甲地为峰林，同类景观多出现在	桂,匹配_0（甲地，峰林）分布_1（同类景观，桂，多）
甲地为峰林，同类景观多出现在	内蒙古,匹配_0（甲地，峰林）分布_1（同类景观，内蒙古，多）
图中	甲处侵蚀作用强烈,实体信息陈述_0（甲处，侵蚀作用，强烈）
图中	乙处由内力作用形成,影响_0（内力作用，乙处，形成）
图中	丙处易发生滑坡现象,实体信息陈述_0（丙处，易发生，滑坡现象）
图中	丁处是典型的背斜山,匹配_0（丁处，典型的背斜山）
瓶装水厂如此选址的主要原因是	利用优于授权地区的水源,影响_0（利用优于授权地区的水源，瓶装水厂，如此选址）
瓶装水厂如此选址的主要原因是	靠近技术发达地区,影响_0（靠近技术发达地区，瓶装水厂，如此选址）
瓶装水厂如此选址的主要原因是	吸引高素质的劳动力,影响_0（吸引高素质的劳动力，瓶装水厂，如此选址）
瓶装水厂如此选址的主要原因是	降低运输成本,影响_0（降低运输成本，瓶装水厂，如此选址）
瓶装水厂的建设使所在地	就业岗位增加,影响_0（瓶装水厂的建设，所在地，就业岗位增加）
瓶装水厂的建设使所在地	吸引大城市人口迁入,影响_0（瓶装水厂的建设，所在地，吸引大城市人口迁入）
瓶装水厂的建设使所在地	承接品牌授权地区产业转移,影响_0（瓶装水厂的建设，所在地，承接品牌授权地区产业转移）
瓶装水厂的建设使所在地	吸引相关企业集聚,影响_0（瓶装水厂的建设，所在地，吸引相关企业集聚）
瓶装水厂的建设使所在地	城市等级提升,影响_0（瓶装水厂的建设，所在地，城市等级提升）
